Total_CPU_percent,Total_Memory_usage
0.4,2686152704
0.2,2686144512
0.0,2686144512
0.0,2686144512
0.0,2684674048
0.0,2684665856
0.0,2684665856
0.2,2684301312
0.0,2684743680
0.2,2684727296
0.0,2684719104
0.0,2684710912
0.0,2684710912
0.0,2684604416
0.0,2684604416
0.0,2684604416
0.0,2684604416
0.3,2684518400
0.2,2684452864
0.2,2684370944
0.0,2684370944
0.0,2684370944
0.0,2684370944
0.0,2684334080
0.0,2684334080
0.0,2684334080
0.0,2684325888
0.3,2684547072
0.0,2684547072
0.0,2684547072
0.0,2684547072
0.3,2685063168
0.3,2684964864
0.2,2684465152
0.0,2684342272
0.3,2684317696
6.0,2684297216
0.2,2684583936
0.3,2684583936
0.5,2684583936
0.3,2684583936
0.2,2684583936
0.3,2684551168
0.0,2684289024
0.5,2684256256
0.0,2684256256
0.3,2684256256
0.5,2684256256
0.3,2684256256
0.2,2684223488
0.2,2684223488
0.0,2684223488
0.0,2684157952
0.0,2684272640
0.0,2684272640
0.0,2684272640
0.3,2684268544
0.0,2684203008
0.2,2684170240
0.2,2684403712
0.0,2684145664
0.0,2684145664
0.2,2683842560
0.0,2683584512
0.2,2683584512
0.0,2683584512
0.2,2683568128
0.3,2683568128
0.0,2683838464
0.0,2683838464
0.0,2683838464
0.0,2683838464
0.5,2683723776
0.0,2683715584
0.0,2683650048
0.0,2683650048
0.3,2683650048
0.0,2683650048
0.0,2683531264
0.0,2683531264
0.0,2683531264
0.3,2683531264
0.5,2683338752
0.0,2683355136
0.0,2683351040
0.0,2683351040
0.3,2683351040
0.2,2683351040
0.0,2683621376
0.0,2683617280
0.0,2683617280
0.2,2683617280
0.2,2683441152
0.0,2683441152
0.0,2683170816
0.0,2683170816
0.3,2683699200
0.2,2683699200
0.0,2683617280
0.0,2683617280
0.0,2683617280
0.3,2683617280
0.2,2681044992
0.0,2681032704
0.2,2681032704
0.0,2681032704
0.3,2680999936
0.3,2680999936
0.2,2680983552
0.0,2681266176
0.0,2681262080
0.6,2681151488
0.2,2681151488
0.0,2681143296
0.0,2681139200
0.2,2681139200
0.2,2681126912
0.2,2681126912
0.2,2681077760
0.0,2681036800
0.2,2681004032
0.2,2681004032
0.2,2680832000
0.2,2680561664
0.0,2680561664
0.0,2680561664
0.6,2680561664
0.2,2680561664
0.0,2680528896
0.0,2680745984
0.0,2680745984
0.5,2680401920
0.0,2680369152
0.0,2680422400
0.3,2680455168
0.2,2680451072
0.0,2680418304
0.3,2680320000
0.2,2680541184
0.0,2680532992
0.0,2680532992
0.6,2680307712
0.2,2680307712
0.2,2680274944
0.0,2680295424
0.0,2680778752
0.3,2680778752
0.3,2680778752
0.0,2680745984
0.0,2680999936
0.2,2680999936
0.3,2679951360
0.2,2679885824
0.2,2679853056
0.0,2679828480
0.2,2680291328
0.3,2680291328
0.3,2680258560
0.2,2680225792
0.2,2680639488
0.3,2680573952
0.2,2680025088
0.5,2679926784
0.0,2679947264
0.0,2679947264
0.3,2679914496
0.5,2679914496
0.2,2679783424
0.2,2680299520
0.0,2680205312
0.5,2680107008
0.2,2679619584
0.2,2679619584
0.2,2679701504
0.0,2679701504
0.3,2680078336
0.3,2679914496
0.2,2679767040
0.0,2679767040
0.0,2679734272
0.2,2678812672
0.3,2678812672
0.3,2678812672
5.2,2678824960
0.3,2678906880
0.9,2678874112
0.5,2678874112
0.2,2679332864
0.3,2679332864
0.5,2679316480
0.3,2678640640
0.2,2678640640
0.6,2678607872
0.2,2678607872
0.2,2678620160
0.0,2679123968
0.5,2679091200
0.0,2679058432
0.2,2679025664
0.0,2679246848
0.2,2679001088
0.3,2678968320
0.0,2678853632
0.3,2678853632
0.0,2678964224
0.2,2678964224
0.5,2678964224
0.2,2678964224
0.6,2678964224
0.0,2678448128
0.2,2678120448
0.3,2678054912
0.5,2678046720
0.2,2678251520
0.0,2678251520
0.5,2678263808
0.3,2678263808
0.2,2678263808
0.2,2678185984
0.0,2678185984
0.6,2678173696
0.2,2678173696
0.3,2678165504
0.0,2678034432
0.2,2678083584
0.2,2678083584
0.2,2678083584
0.5,2678083584
0.0,2678083584
0.0,2677809152
0.2,2677809152
0.3,2677809152
0.3,2677809152
0.5,2677809152
0.3,2677809152
0.3,2677809152
0.3,2677809152
0.3,2677809152
0.2,2677809152
0.3,2677809152
