Total_CPU_percent,Total_Memory_percent
0.7,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.7,1.4
0.6,1.4
0.8,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.4,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.4,1.4
0.5,1.4
0.8,1.4
0.9,1.4
0.7,1.4
0.7,1.4
0.4,1.4
0.5,1.4
0.7,1.4
0.4,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.9,1.4
0.7,1.4
0.4,1.4
0.9,1.4
1.0,1.4
0.4,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.4,1.4
0.8,1.4
0.9,1.4
0.5,1.4
0.5,1.4
0.9,1.4
1.0,1.4
0.5,1.4
0.5,1.4
0.4,1.4
0.8,1.4
4.7,1.4
1.3,1.4
0.5,1.4
0.9,1.4
0.8,1.4
0.7,1.4
0.5,1.4
0.4,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.8,1.4
0.8,1.4
0.5,1.4
0.7,1.4
0.8,1.4
0.9,1.4
0.4,1.4
0.5,1.4
0.8,1.4
0.4,1.4
0.5,1.4
0.9,1.4
0.7,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.7,1.4
0.7,1.4
0.5,1.4
0.4,1.4
0.4,1.4
0.8,1.4
0.8,1.4
0.9,1.4
0.7,1.4
0.8,1.4
0.7,1.4
0.6,1.4
0.5,1.4
0.7,1.4
0.8,1.4
0.4,1.4
0.4,1.4
0.8,1.4
0.4,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.5,1.4
1.0,1.4
0.5,1.4
0.7,1.4
0.4,1.4
1.0,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.8,1.4
0.8,1.4
1.0,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.4,1.4
0.4,1.4
0.5,1.4
0.7,1.4
0.7,1.4
1.0,1.4
0.4,1.4
0.9,1.4
0.3,1.4
0.7,1.4
0.7,1.4
0.4,1.4
0.9,1.4
0.7,1.4
0.4,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.7,1.4
0.9,1.4
0.4,1.4
0.5,1.4
1.0,1.4
0.7,1.4
0.9,1.4
0.8,1.4
0.9,1.4
0.7,1.4
0.4,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.4,1.4
0.7,1.4
0.8,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.5,1.4
1.0,1.4
0.8,1.4
0.5,1.4
0.3,1.4
0.9,1.4
0.4,1.4
0.7,1.4
0.9,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.7,1.4
0.5,1.4
4.0,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.9,1.4
1.0,1.4
0.8,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.7,1.4
0.5,1.4
1.2,1.4
0.9,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.7,1.4
0.8,1.4
0.9,1.4
0.8,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.5,1.4
0.7,1.4
0.4,1.4
0.4,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.5,1.4
0.9,1.4
0.7,1.4
0.5,1.4
0.9,1.4
0.5,1.4
0.7,1.4
1.0,1.4
1.0,1.4
0.4,1.4
0.9,1.4
0.7,1.4
0.3,1.4
0.4,1.4
0.8,1.4
0.8,1.4
0.5,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.9,1.4
0.8,1.4
0.4,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.4,1.4
0.8,1.4
0.9,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.7,1.4
0.7,1.4
0.9,1.4
0.8,1.4
0.4,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.5,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.7,1.4
0.8,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.7,1.4
6.6,1.4
0.8,1.4
0.9,1.4
0.7,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.6,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.4,1.4
0.7,1.4
0.9,1.4
0.8,1.4
0.4,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.9,1.4
0.9,1.4
0.4,1.4
1.0,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.9,1.4
0.8,1.4
0.5,1.4
0.6,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.7,1.4
0.8,1.4
0.7,1.4
0.5,1.4
1.0,1.4
0.5,1.4
0.7,1.4
0.6,1.4
0.9,1.4
0.4,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.4,1.4
0.8,1.4
0.8,1.4
0.9,1.4
0.7,1.4
0.9,1.4
1.0,1.4
0.7,1.4
0.7,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.4,1.4
0.5,1.4
0.9,1.4
0.4,1.4
0.9,1.4
0.4,1.4
0.4,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.8,1.4
0.8,1.4
1.2,1.4
0.4,1.4
0.5,1.4
0.5,1.4
0.9,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.8,1.4
0.4,1.4
0.4,1.4
0.8,1.4
5.4,1.4
1.0,1.4
0.5,1.4
0.7,1.4
1.0,1.4
0.5,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.5,1.4
1.0,1.4
0.5,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.5,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.7,1.4
0.4,1.4
0.9,1.4
0.8,1.4
0.3,1.4
0.8,1.4
0.9,1.4
0.7,1.4
0.7,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.4,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.9,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.4,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.8,1.4
0.7,1.4
0.7,1.4
0.7,1.4
0.4,1.4
0.5,1.4
1.0,1.4
0.8,1.4
0.7,1.4
0.9,1.4
0.7,1.4
0.7,1.4
0.4,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.7,1.4
0.7,1.4
0.9,1.4
0.5,1.4
0.7,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.7,1.4
1.0,1.4
0.7,1.4
0.8,1.4
0.5,1.4
0.8,1.4
0.3,1.4
0.7,1.4
0.7,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.4,1.4
0.8,1.4
0.8,1.4
0.8,1.4
0.7,1.4
0.5,1.4
0.5,1.4
0.7,1.4
0.7,1.4
0.4,1.4
0.7,1.4
0.4,1.4
0.5,1.4
0.8,1.4
0.5,1.4
0.5,1.4
0.4,1.4
0.8,1.4
