CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,0.0,0.0,0,126976
0.2,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.2,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.0,0.0,0.0,0,126976
0.2,0.0,0.0,0,126976
0.2,16.7,0.0,0,155648
0.2,0.0,0.0,0,155648
0.0,0.0,0.0,0,155648
0.0,0.0,0.0,0,155648
0.0,0.0,0.0,0,155648
0.0,0.0,0.0,0,155648
0.0,0.0,0.0,0,155648
8.1,0.0,0.0,0,155648
0.0,0.0,0.0,0,155648
0.2,0.0,0.0,0,155648
0.6,10.0,0.0,0,159744
0.5,0.0,0.0,0,159744
0.5,0.0,0.0,0,159744
0.3,0.0,0.0,0,159744
0.5,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.3,0.0,0.0,0,159744
0.6,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.5,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,9.1,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.6,9.1,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,9.1,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.3,18.2,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.5,0.0,0.0,0,159744
0.0,9.1,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,9.1,0.0,0,159744
0.3,10.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.3,0.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.3,9.1,0.0,0,159744
0.0,0.0,0.0,0,159744
0.3,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.3,10.0,0.0,0,159744
0.2,18.2,0.0,0,159744
0.3,9.1,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,9.1,0.0,0,159744
0.2,10.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.3,10.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,0.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.5,23.1,0.0,0,159744
0.2,0.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.5,0.0,0.0,0,159744
0.2,10.0,0.0,0,159744
0.3,9.1,0.0,0,159744
0.0,0.0,0.0,0,159744
0.0,0.0,0.0,0,159744
0.2,18.2,0.0,0,159744
0.2,0.0,0.0,0,159744
